2026-06-24T22:45:59.314Z | product=stoneware-table-lamp | status=generated | html=p/stoneware-table-lamp/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:45:59.314Z | product=travel-tech-tote | status=generated | html=p/travel-tech-tote/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:45:59.314Z | product=waffle-linen-robe | status=generated | html=p/waffle-linen-robe/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:45:59.314Z | product=contour-recovery-roller | status=generated | html=p/contour-recovery-roller/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:45:59.314Z | product=ceramic-morning-mug | status=generated | html=p/ceramic-morning-mug/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:45:59.314Z | product=linen-utility-jacket | status=generated | html=p/linen-utility-jacket/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:45:59.314Z | product=studio-ink-desk-pad | status=generated | html=p/studio-ink-desk-pad/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:45:59.314Z | product=summary | status=summary | html=- | warnings=0 | errors=0 | success=true | reason=processed=7;generated=7;skipped=0;generationTimeMs=4
2026-06-24T22:47:40.161Z | product=stoneware-table-lamp | status=generated | html=p/stoneware-table-lamp/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:47:40.161Z | product=travel-tech-tote | status=generated | html=p/travel-tech-tote/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:47:40.161Z | product=waffle-linen-robe | status=generated | html=p/waffle-linen-robe/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:47:40.161Z | product=contour-recovery-roller | status=generated | html=p/contour-recovery-roller/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:47:40.161Z | product=ceramic-morning-mug | status=generated | html=p/ceramic-morning-mug/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:47:40.161Z | product=linen-utility-jacket | status=generated | html=p/linen-utility-jacket/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:47:40.161Z | product=studio-ink-desk-pad | status=generated | html=p/studio-ink-desk-pad/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T22:47:40.161Z | product=summary | status=summary | html=- | warnings=0 | errors=0 | success=true | reason=processed=7;generated=7;skipped=0;generationTimeMs=6
2026-06-24T23:43:45.659Z | product=stoneware-table-lamp | status=generated | html=p/stoneware-table-lamp/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T23:43:45.659Z | product=travel-tech-tote | status=generated | html=p/travel-tech-tote/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T23:43:45.659Z | product=waffle-linen-robe | status=generated | html=p/waffle-linen-robe/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T23:43:45.659Z | product=contour-recovery-roller | status=generated | html=p/contour-recovery-roller/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T23:43:45.659Z | product=ceramic-morning-mug | status=generated | html=p/ceramic-morning-mug/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T23:43:45.659Z | product=linen-utility-jacket | status=generated | html=p/linen-utility-jacket/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T23:43:45.659Z | product=studio-ink-desk-pad | status=generated | html=p/studio-ink-desk-pad/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-24T23:43:45.659Z | product=summary | status=summary | html=- | warnings=0 | errors=0 | success=true | reason=processed=7;generated=7;skipped=0;generationTimeMs=16
2026-06-24T23:54:14.948Z | product=summary | status=summary | html=- | warnings=0 | errors=0 | success=true | reason=processed=0;generated=0;skipped=0;generationTimeMs=0
2026-06-24T23:56:26.704Z | product=summary | status=summary | html=- | warnings=0 | errors=0 | success=true | reason=processed=0;generated=0;skipped=0;generationTimeMs=4
2026-06-25T00:50:46.634Z | product=deployment-test | status=skipped | html=- | warnings=1 | errors=1 | success=false | reason=Missing required field: heroImage | Missing required field: affiliateUrl | affiliateUrl must be a valid http(s) URL | Category does not exist: tech | Hero image is missing or unavailable
2026-06-25T00:50:46.634Z | product=summary | status=summary | html=- | warnings=1 | errors=1 | success=true | reason=processed=1;generated=0;skipped=1;generationTimeMs=1
2026-06-25T00:50:51.541Z | product=deployment-test | status=skipped | html=- | warnings=1 | errors=1 | success=false | reason=Missing required field: heroImage | Missing required field: affiliateUrl | affiliateUrl must be a valid http(s) URL | Category does not exist: tech | Hero image is missing or unavailable
2026-06-25T00:50:51.541Z | product=summary | status=summary | html=- | warnings=1 | errors=1 | success=true | reason=processed=1;generated=0;skipped=1;generationTimeMs=1
2026-06-25T00:51:14.694Z | product=deployment-test | status=generated | html=p/deployment-test/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-25T00:51:14.694Z | product=summary | status=summary | html=- | warnings=0 | errors=0 | success=true | reason=processed=1;generated=1;skipped=0;generationTimeMs=3
2026-06-25T00:52:43.320Z | product=deployment-test | status=generated | html=p/deployment-test/index.html | warnings=0 | errors=0 | success=true | reason=Generated successfully
2026-06-25T00:52:43.320Z | product=summary | status=summary | html=- | warnings=0 | errors=0 | success=true | reason=processed=1;generated=1;skipped=0;generationTimeMs=2
